City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tres Picos,15.8667,-93.5333,78.04,65,2,3.96,MX,2021-04-19 05:27:17
1,Kahului,20.8947,-156.47,73.4,83,40,13.8,US,2021-04-19 05:27:18
2,Hithadhoo,-0.6,73.0833,82.69,67,82,5.3,MV,2021-04-19 05:27:18
3,Khandyga,62.6667,135.6,30.56,95,100,6.67,RU,2021-04-19 05:27:18
4,Yellowknife,62.456,-114.3525,30.2,74,75,3.44,CA,2021-04-19 05:27:19
5,Lavumisa,-27.31,31.892,57.38,88,0,3.96,SZ,2021-04-19 05:27:19
6,Nikolskoye,59.7035,30.7861,43.0,61,0,6.71,RU,2021-04-19 05:27:20
7,Mataura,-46.1927,168.8643,59.0,79,37,3.0,NZ,2021-04-19 05:27:20
8,Saskylakh,71.9167,114.0833,9.86,85,96,11.72,RU,2021-04-19 05:27:20
9,Punta Arenas,-53.15,-70.9167,44.6,87,0,3.44,CL,2021-04-19 05:27:21
10,Busselton,-33.65,115.3333,68.0,80,63,1.01,AU,2021-04-19 05:27:21
11,Marsh Harbour,26.5412,-77.0636,76.95,82,67,14.5,BS,2021-04-19 05:27:22
12,Chokurdakh,70.6333,147.9167,13.82,88,29,9.6,RU,2021-04-19 05:27:22
13,Guadalupe Y Calvo,26.1,-106.9667,39.29,75,4,3.6,MX,2021-04-19 05:27:23
14,Castro,-24.7911,-50.0119,55.17,95,40,6.04,BR,2021-04-19 05:23:12
15,Vaini,-21.2,-175.2,78.8,83,20,5.75,TO,2021-04-19 05:27:23
16,Cape Town,-33.9258,18.4232,63.0,88,0,23.02,ZA,2021-04-19 05:22:38
17,Carnarvon,-24.8667,113.6333,79.59,52,0,18.16,AU,2021-04-19 05:27:24
18,Bredasdorp,-34.5322,20.0403,62.6,82,100,12.66,ZA,2021-04-19 05:27:24
19,Pasighat,28.0667,95.3333,74.19,69,96,3.67,IN,2021-04-19 05:27:24
20,Puerto Ayora,-0.7393,-90.3518,73.99,97,100,1.01,EC,2021-04-19 05:27:25
21,Esperance,-33.8667,121.9,73.4,49,47,14.97,AU,2021-04-19 05:27:25
22,Colares,38.7992,-9.4469,59.0,86,74,7.0,PT,2021-04-19 05:27:26
23,Nyurba,63.2842,118.3319,21.45,70,100,6.38,RU,2021-04-19 05:27:26
24,Port Elizabeth,-33.918,25.5701,66.2,82,75,26.46,ZA,2021-04-19 05:27:26
25,Albany,42.6001,-73.9662,45.0,87,78,3.78,US,2021-04-19 05:27:27
26,Moose Factory,51.2585,-80.6094,37.4,64,90,9.22,CA,2021-04-19 05:27:27
27,Fort Frances,48.5999,-93.4003,28.99,74,90,17.27,CA,2021-04-19 05:24:34
28,Broome,42.2506,-75.833,44.6,70,90,3.04,US,2021-04-19 05:27:28
29,Omboue,-1.5746,9.2618,77.76,88,100,1.01,GA,2021-04-19 05:27:28
30,Agadez,19.75,10.25,77.31,8,86,0.63,NE,2021-04-19 05:27:28
31,Barrow,71.2906,-156.7887,28.4,69,1,9.22,US,2021-04-19 05:27:29
32,Rikitea,-23.1203,-134.9692,78.13,70,7,4.38,PF,2021-04-19 05:27:29
33,Myitkyina,25.3833,97.4,95.65,27,6,2.33,MM,2021-04-19 05:27:30
34,Bluff,-46.6,168.3333,59.0,79,79,3.0,NZ,2021-04-19 05:27:30
